,data,db,exp,prank,rank,reg,report,sj,zb
79,154653,年度数据,货物进出口总额指实际进出我国国境的货物总金额。包括对外贸易实际进出口货物，来料加工装配进出口货物，国家间、联合国及国际组织无偿援助物资和赠送品，华侨、港澳台同胞和外籍华人捐赠品，租赁期满归承租人所有的租赁货物，进料加工进出口货物，边境地方贸易及边境地区小额贸易进出口货物(边民互市贸易除外)，中外合资企业、中外合作经营企业、外商独资经营企业进出口货物和公用物品，到、离岸价格在规定限额以上的进出口货样和广告品(无商业价值、无使用价值和免费提供出口的除外)，从保税仓库提取在中国境内销售的进口货物，以及其他进出口货物。该指标用以观察一个国家在对外贸易方面的总规模。我国规定出口货物按离岸价格统计，进口货物按到岸价格统计。,2.831629,84.0,全国,cn=C01&zb=A06050107&sj=2014,2014年,中国同国别(地区)不详进出口总额(万美元)
80,52.9,年度数据,第三产业对GDP的贡献率是指第三产业对国内生产总值增长速度的贡献率，等于第三产业增加值增量与GDP增量之比。按不变价格计算。,6.562029,106.0,全国,cn=C01&zb=A0209&sj=2015,2015年,第三产业对GDP的贡献率(%)
81,47.5,年度数据,第三产业对GDP的贡献率是指第三产业对国内生产总值增长速度的贡献率，等于第三产业增加值增量与GDP增量之比。按不变价格计算。,6.562029,106.0,全国,cn=C01&zb=A0209&sj=2014,2014年,第三产业对GDP的贡献率(%)
82,323359,年度数据,,7.071828999999999,106.0,全国,cn=C01&zb=A0F0202&sj=2015,2015年,内资建筑业企业按总产值计算劳动生产率(元/人)
83,317260,年度数据,,7.071828999999999,106.0,全国,cn=C01&zb=A0F0202&sj=2014,2014年,内资建筑业企业按总产值计算劳动生产率(元/人)
84,106.9,分省年度数据,地区生产总值指数指反映一定时期内地区生产总值变动趋势和程度的相对数，该指标是以上一年为基期计算的指数。按不变价格计算。,0.001632,101.92,北京市,cn=E0103&zb=A0202&reg=110000&sj=2015,2015年,地区生产总值指数(上年=100)
85,107.3,分省年度数据,地区生产总值指数指反映一定时期内地区生产总值变动趋势和程度的相对数，该指标是以上一年为基期计算的指数。按不变价格计算。,0.001632,101.92,北京市,cn=E0103&zb=A0202&reg=110000&sj=2014,2014年,地区生产总值指数(上年=100)
86,,分省季度数据,地区生产总值指数指反映一定时期内地区生产总值变动趋势和程度的相对数，该指标是以上一年为基期计算的指数。按不变价格计算。,0.002033,101.92,北京市,cn=E0102&zb=A0101&reg=110000&sj=2017A,2017年第一季度,地区生产总值指数(上年=100)_累计值(%)
87,,分省年度数据,单位国内生产总值能耗指一定时期内，一个国家或地区每生产一个单位的国内生产总值所消耗的能源。计算公式为：单位国内生产总值能耗=能源消费总量/国内生产总值。,2.241532,98.0,北京市,cn=E0103&zb=A0707&reg=110000&sj=2015,2015年,单位地区生产总值能耗(等价值)(吨标准煤/万元)
88,,分省年度数据,单位国内生产总值能耗指一定时期内，一个国家或地区每生产一个单位的国内生产总值所消耗的能源。计算公式为：单位国内生产总值能耗=能源消费总量/国内生产总值。,2.241532,98.0,北京市,cn=E0103&zb=A0707&reg=110000&sj=2014,2014年,单位地区生产总值能耗(等价值)(吨标准煤/万元)
89,,分省年度数据,单位国内生产总值电耗指一定时期内，一个国家或地区每生产一个单位的国内生产总值所消耗的电力。计算公式为：单位国内生产总值电耗=全社会用电量/国内生产总值。,2.241532,98.0,北京市,cn=E0103&zb=A0707&reg=110000&sj=2015,2015年,单位地区生产总值电耗(等价值)(千瓦小时/万元)
90,,分省年度数据,单位国内生产总值电耗指一定时期内，一个国家或地区每生产一个单位的国内生产总值所消耗的电力。计算公式为：单位国内生产总值电耗=全社会用电量/国内生产总值。,2.241532,98.0,北京市,cn=E0103&zb=A0707&reg=110000&sj=2014,2014年,单位地区生产总值电耗(等价值)(千瓦小时/万元)
91,-6.2,分省年度数据,单位国内生产总值能耗指一定时期内，一个国家或地区每生产一个单位的国内生产总值所消耗的能源。计算公式为：单位国内生产总值能耗=能源消费总量/国内生产总值。,2.242032,98.0,北京市,cn=E0103&zb=A0707&reg=110000&sj=2015,2015年,单位地区生产总值能耗(等价值)_同比增长(%)
92,,分省年度数据,单位国内生产总值能耗指一定时期内，一个国家或地区每生产一个单位的国内生产总值所消耗的能源。计算公式为：单位国内生产总值能耗=能源消费总量/国内生产总值。,2.242032,98.0,北京市,cn=E0103&zb=A0707&reg=110000&sj=2014,2014年,单位地区生产总值能耗(等价值)_同比增长(%)
